customer_key,customer_number,customer_name,age_segment,customer_segment,total_orders,total_sales,total_quantity_purch,total_products,recency,AOV,avg_monthly_spent
2259,AW00013258,Anne Dominguez,60 - 69,VIP,10,8886,10,10,135,889,254
2,AW00011001,Eugene Huang,40 - 49,VIP,11,6384,11,10,135,580,182
240,AW00011239,Latoya Goel,50 - 59,VIP,11,7511,11,11,142,683,268
2260,AW00013259,Allen Garcia,60 - 69,VIP,14,7853,14,13,136,561,231
1125,AW00012124,Brandi Gill,60 - 69,VIP,12,13195,12,11,137,1100,400
1133,AW00012132,Kaitlyn Henderson,60 - 69,VIP,14,13294,14,13,137,950,403
2601,AW00013600,Marie Sanz,60 - 69,VIP,11,8460,11,11,140,769,292
245,AW00011244,Alexis Coleman,50 - 59,VIP,12,7175,12,11,140,598,247
248,AW00011247,Claudia Zhou,60 - 69,VIP,12,7131,12,11,139,594,238
33,AW00011032,Denise Stone,Above 70,VIP,10,6525,10,10,136,653,198
244,AW00011243,Robin Alvarez,60 - 69,VIP,12,7164,12,10,141,597,256
1132,AW00012131,Randall Dominguez,60 - 69,VIP,11,13265,11,11,137,1206,415
241,AW00011240,Anne Hernandez,60 - 69,VIP,13,7586,13,10,142,584,281
251,AW00011250,Shannon Liu,50 - 59,VIP,11,7115,11,10,139,647,245
2580,AW00013579,Alan Chen,60 - 69,VIP,10,7294,10,10,136,729,228
3428,AW00014427,Emmanuel Patel,60 - 69,VIP,10,8451,10,9,139,845,302
71,AW00011070,Willie Raji,60 - 69,VIP,10,8165,10,9,141,817,314
2772,AW00013771,Victor Moreno,40 - 49,VIP,10,6535,10,10,137,654,225
1302,AW00012301,Nichole Nara,Above 70,VIP,13,13294,13,11,136,1023,443
121,AW00011120,Beth Jimnez,Above 70,VIP,10,8242,10,10,138,824,294
1297,AW00012296,Francisco Sara,60 - 69,VIP,12,13164,12,9,137,1097,454
1301,AW00012300,Adriana Gonzalez,Above 70,VIP,10,13242,10,10,137,1324,457
1308,AW00012307,Brad She,60 - 69,VIP,11,13172,11,10,136,1197,439
1322,AW00012321,Rosa Hu,60 - 69,VIP,15,13215,15,12,136,881,456
1309,AW00012308,Margaret He,50 - 59,VIP,14,13268,14,14,136,948,458
1333,AW00012332,Andres Nara,Above 70,VIP,10,10789,10,10,141,1079,450
1334,AW00012333,Terrance Rodriguez,Above 70,VIP,11,10829,11,9,141,984,451
369,AW00011368,Edward Miller,40 - 49,VIP,11,5105,11,11,135,464,170
1324,AW00012323,Lawrence Alonso,60 - 69,VIP,11,10836,11,11,142,985,471
458,AW00011457,Jaime Gutierrez,40 - 49,VIP,10,8211,10,9,141,821,357
457,AW00011456,Jon Gao,40 - 49,VIP,11,8224,11,10,142,748,374
3172,AW00014171,Michele Lal,Above 70,VIP,10,6616,10,10,135,662,236
4060,AW00015059,Lisa Zhu,50 - 59,VIP,10,6793,10,9,135,679,243
414,AW00011413,Megan Stewart,60 - 69,VIP,11,7190,11,10,138,654,288
